finish,start,duration,repo
2023-05-09 02:44:16,2023-05-09 02:42:04,132,tidy
2023-05-02 02:44:04,2023-05-02 02:41:49,135,tidy
2023-04-25 02:43:49,2023-04-25 02:41:25,144,tidy
2023-04-18 02:42:48,2023-04-18 02:40:05,163,tidy
2023-04-11 02:43:38,2023-04-11 02:40:15,203,tidy
2023-04-04 02:43:24,2023-04-04 02:40:22,182,tidy
2023-03-28 02:47:56,2023-03-28 02:45:03,173,tidy
2023-03-21 02:44:41,2023-03-21 02:40:16,265,tidy
2023-03-14 02:46:20,2023-03-14 02:43:43,157,tidy
2023-03-07 03:10:54,2023-03-07 03:08:27,147,tidy
2023-02-28 03:01:36,2023-02-28 02:58:21,195,tidy
2023-02-21 03:04:06,2023-02-21 03:00:16,230,tidy
2023-02-14 03:01:43,2023-02-14 02:58:42,181,tidy
2023-02-07 02:51:42,2023-02-07 02:49:06,156,tidy
2023-01-31 02:58:47,2023-01-31 02:55:39,188,tidy
2023-01-24 02:53:42,2023-01-24 02:48:15,327,tidy
2023-01-17 02:53:01,2023-01-17 02:49:50,191,tidy
2023-01-10 02:57:07,2023-01-10 02:54:46,141,tidy
2023-01-03 02:47:46,2023-01-03 02:45:24,142,tidy
2022-12-27 02:47:13,2022-12-27 02:44:19,174,tidy
2022-12-20 02:49:48,2022-12-20 02:47:18,150,tidy
2022-12-13 03:05:28,2022-12-13 03:01:58,210,tidy
2022-12-06 02:55:58,2022-12-06 02:53:02,176,tidy
2022-11-29 03:07:46,2022-11-29 03:04:05,221,tidy
2022-11-22 03:26:14,2022-11-22 03:23:10,184,tidy
2022-11-15 03:32:02,2022-11-15 03:29:18,164,tidy
2022-11-08 12:14:59,2022-11-08 12:11:44,195,tidy
2022-11-08 03:42:20,2022-11-08 03:42:10,10,tidy
2022-11-01 04:22:40,2022-11-01 04:17:47,293,tidy
2022-10-25 04:38:08,2022-10-25 04:34:23,225,tidy
2022-10-18 04:31:05,2022-10-18 04:28:17,168,tidy
2022-10-11 04:24:41,2022-10-11 04:21:09,212,tidy
2022-10-04 03:57:21,2022-10-04 03:54:20,181,tidy
2022-09-27 04:22:13,2022-09-27 04:19:19,174,tidy
2022-09-20 04:30:06,2022-09-20 04:26:19,227,tidy
2022-09-13 04:30:57,2022-09-13 04:27:20,217,tidy
2022-09-06 04:33:34,2022-09-06 04:30:23,191,tidy
2022-08-30 04:30:49,2022-08-30 04:27:47,182,tidy
2022-08-23 04:25:10,2022-08-23 04:21:48,202,tidy
2022-08-16 03:55:58,2022-08-16 03:52:23,215,tidy
2022-08-09 03:52:52,2022-08-09 03:50:12,160,tidy
2022-08-02 04:17:19,2022-08-02 04:14:13,186,tidy
2022-07-26 04:17:08,2022-07-26 04:13:59,189,tidy
2022-07-19 04:09:48,2022-07-19 04:06:44,184,tidy
2022-07-12 04:11:22,2022-07-12 04:06:42,280,tidy
2022-07-05 03:53:33,2022-07-05 03:49:55,218,tidy
2022-06-28 03:55:08,2022-06-28 03:50:43,265,tidy
2022-06-21 03:47:51,2022-06-21 03:43:54,237,tidy
2022-06-14 04:00:47,2022-06-14 03:58:03,164,tidy
2022-06-07 03:39:02,2022-06-07 03:34:40,262,tidy
2022-05-31 03:40:52,2022-05-31 03:37:37,195,tidy
2022-05-24 03:42:19,2022-05-24 03:39:25,174,tidy
2022-05-17 03:43:59,2022-05-17 03:40:38,201,tidy
2022-05-10 03:06:16,2022-05-10 03:02:34,222,tidy
2022-05-03 03:42:54,2022-05-03 03:38:38,256,tidy
2022-04-26 03:38:12,2022-04-26 03:34:36,216,tidy
2022-04-19 03:43:26,2022-04-19 03:40:17,189,tidy
2022-04-12 03:15:33,2022-04-12 03:12:20,193,tidy
2022-04-08 12:25:18,2022-04-08 12:22:10,188,tidy
2022-04-05 03:10:58,2022-04-05 03:07:00,238,tidy
2022-03-29 03:12:49,2022-03-29 03:09:40,189,tidy
2022-03-22 03:07:06,2022-03-22 03:03:54,192,tidy
2022-03-15 02:56:39,2022-03-15 02:52:19,260,tidy
2022-03-08 02:49:53,2022-03-08 02:46:50,183,tidy
2022-03-01 03:04:41,2022-03-01 02:56:08,513,tidy
2022-02-22 02:45:40,2022-02-22 02:43:05,155,tidy
2022-02-15 02:49:42,2022-02-15 02:45:37,245,tidy
2022-02-08 02:48:25,2022-02-08 02:45:27,178,tidy
2022-02-01 02:47:53,2022-02-01 02:44:51,182,tidy
2022-01-30 13:44:42,2022-01-30 13:41:40,182,tidy
2022-01-29 23:25:04,2022-01-29 23:21:58,186,tidy
2022-01-29 22:56:41,2022-01-29 22:53:57,164,tidy
