finish,start,duration,repo
2023-05-16 02:41:52,2023-05-16 02:40:40,72,tiny
2023-05-09 02:42:26,2023-05-09 02:41:04,82,tiny
2023-05-02 02:42:11,2023-05-02 02:41:06,65,tiny
2023-04-25 02:41:48,2023-04-25 02:40:40,68,tiny
2023-04-18 02:40:30,2023-04-18 02:39:12,78,tiny
2023-04-11 02:40:47,2023-04-11 02:39:29,78,tiny
2023-04-04 02:40:54,2023-04-04 02:39:43,71,tiny
2023-03-28 02:45:44,2023-03-28 02:44:13,91,tiny
2023-03-21 02:40:36,2023-03-21 02:39:14,82,tiny
2023-03-14 02:44:31,2023-03-14 02:42:58,93,tiny
2023-03-07 03:08:59,2023-03-07 03:07:37,82,tiny
2023-02-28 02:58:24,2023-02-28 02:57:16,68,tiny
2023-02-21 03:00:37,2023-02-21 02:59:20,77,tiny
2023-02-14 02:59:10,2023-02-14 02:57:42,88,tiny
2023-02-07 02:50:08,2023-02-07 02:48:08,120,tiny
2023-01-31 02:56:04,2023-01-31 02:54:34,90,tiny
2023-01-24 02:48:35,2023-01-24 02:47:18,77,tiny
2023-01-17 02:50:11,2023-01-17 02:48:47,84,tiny
2023-01-10 02:55:12,2023-01-10 02:53:44,88,tiny
2023-01-03 02:46:03,2023-01-03 02:44:18,105,tiny
2022-12-27 02:45:06,2022-12-27 02:43:29,97,tiny
2022-12-20 02:48:58,2022-12-20 02:46:22,156,tiny
2022-12-13 03:03:30,2022-12-13 03:01:09,141,tiny
2022-12-06 02:54:02,2022-12-06 02:51:42,140,tiny
2022-11-29 03:05:10,2022-11-29 03:03:04,126,tiny
2022-11-22 03:19:11,2022-11-22 03:17:24,107,tiny
2022-11-15 03:30:10,2022-11-15 03:28:25,105,tiny
2022-11-08 03:43:18,2022-11-08 03:41:23,115,tiny
2022-11-01 04:19:02,2022-11-01 04:17:08,114,tiny
2022-10-25 04:35:19,2022-10-25 04:33:38,101,tiny
2022-10-18 04:29:26,2022-10-18 04:27:32,114,tiny
2022-10-11 04:21:38,2022-10-11 04:19:56,102,tiny
2022-10-04 03:55:32,2022-10-04 03:53:36,116,tiny
2022-09-27 04:20:09,2022-09-27 04:18:37,92,tiny
2022-09-20 04:27:02,2022-09-20 04:25:27,95,tiny
2022-09-13 04:27:50,2022-09-13 04:26:11,99,tiny
2022-09-06 04:31:08,2022-09-06 04:29:13,115,tiny
2022-08-30 04:28:51,2022-08-30 04:27:04,107,tiny
2022-08-23 04:22:43,2022-08-23 04:21:03,100,tiny
2022-08-16 03:53:27,2022-08-16 03:51:52,95,tiny
2022-08-09 03:51:34,2022-08-09 03:49:28,126,tiny
2022-08-02 04:14:30,2022-08-02 04:13:03,87,tiny
2022-07-26 04:14:41,2022-07-26 04:13:17,84,tiny
2022-07-19 04:07:19,2022-07-19 04:05:44,95,tiny
2022-07-12 04:06:41,2022-07-12 04:04:44,117,tiny
2022-07-05 03:50:46,2022-07-05 03:49:18,88,tiny
2022-06-28 03:51:40,2022-06-28 03:50:05,95,tiny
2022-06-21 03:44:22,2022-06-21 03:42:48,94,tiny
2022-06-14 03:58:59,2022-06-14 03:57:23,96,tiny
2022-06-07 03:34:53,2022-06-07 03:33:21,92,tiny
2022-05-31 03:38:28,2022-05-31 03:36:38,110,tiny
2022-05-24 03:39:08,2022-05-24 03:37:41,87,tiny
2022-05-17 03:41:40,2022-05-17 03:39:50,110,tiny
2022-05-10 03:02:50,2022-05-10 03:01:28,82,tiny
2022-05-03 03:50:44,2022-05-03 03:49:10,94,tiny
2022-04-26 03:35:24,2022-04-26 03:33:42,102,tiny
2022-04-19 03:40:18,2022-04-19 03:38:46,92,tiny
2022-04-12 03:12:26,2022-04-12 03:11:03,83,tiny
2022-04-08 12:23:55,2022-04-08 12:21:57,118,tiny
2022-04-05 03:08:09,2022-04-05 03:05:47,142,tiny
2022-03-29 03:10:34,2022-03-29 03:08:29,125,tiny
2022-03-22 03:04:12,2022-03-22 03:02:39,93,tiny
2022-03-15 02:53:16,2022-03-15 02:51:05,131,tiny
2022-03-08 02:47:19,2022-03-08 02:45:34,105,tiny
2022-03-01 03:06:05,2022-03-01 02:54:50,675,tiny
2022-02-22 02:42:55,2022-02-22 02:41:22,93,tiny
2022-02-15 02:46:00,2022-02-15 02:44:16,104,tiny
2022-02-08 02:45:23,2022-02-08 02:43:45,98,tiny
2022-02-01 02:44:36,2022-02-01 02:43:06,90,tiny
2022-01-30 13:42:43,2022-01-30 13:41:00,103,tiny
2022-01-29 22:20:01,2022-01-29 22:18:16,105,tiny
